Volume_AAL,Volume_ALGT,Volume_ALK,Volume_DAL,Volume_HA,Volume_LUV,Volume_BCS,Volume_CS,Volume_DB,Volume_GS,Volume_MS,Volume_WFC,Volume_BHC,Volume_JNJ,Volume_MRK,Volume_PFE,Volume_RHHBY,Volume_UNH,Volume_AAPL,Volume_AMZN,Volume_FB,Volume_GOOG,Volume_IBM,Volume_MSFT,Volume_SP500
2425100,198100,1246700.0,3891800.0,509000.0,2243800.0,1519700.0,1626900.0,2434100.0,2100600.0,6153800.0,11653200.0,13460300.0,4665600.0,11346000.0,8599200.0,808000.0,1959700.0,65397600,1585100.0,8509500.0,755100.0,2990600.0,14145800.0,2399830000
2774000,83600,869500.0,3276700.0,427700.0,2041500.0,1259700.0,1790100.0,1618600.0,1289300.0,3313800.0,11662800.0,10703300.0,3271100.0,4405300.0,10892400.0,474100.0,1482400.0,132742000,2005200.0,8897300.0,760600.0,2479000.0,9891200.0,1968780000
2831400,197200,939300.0,3766400.0,654600.0,3639900.0,1504600.0,1546800.0,2429000.0,1567900.0,5786800.0,10010800.0,11668200.0,3753600.0,5660300.0,8319700.0,1414100.0,1861900.0,85992800,1867200.0,9496100.0,1271900.0,2149300.0,14678000.0,2202080000
1845300,146000,901700.0,3651800.0,690600.0,2164900.0,1380800.0,975300.0,1704900.0,1301000.0,3736700.0,10550900.0,14604400.0,2485000.0,5783500.0,6583900.0,888400.0,1452600.0,65920800,1841700.0,12220800.0,837100.0,2687600.0,10594300.0,2153330000
2696300,91200,1038100.0,3120200.0,773500.0,1977200.0,1609400.0,1398200.0,1548700.0,2519300.0,5804600.0,10711400.0,10325000.0,4452900.0,8436600.0,11421500.0,727200.0,2350200.0,103999600,2688400.0,10261500.0,887500.0,3327100.0,18717400.0,2443490000
5283900,277100,2360500.0,12082900.0,642700.0,4512700.0,3476000.0,3798200.0,3107400.0,4445500.0,11168500.0,17907800.0,14893800.0,8804000.0,48091300.0,28972200.0,3779900.0,6852600.0,118263600,7220700.0,36183800.0,1575300.0,7794200.0,36599700.0,4325970000
3148900,238100,2275400.0,6088100.0,559800.0,4919900.0,2048100.0,3275300.0,2585000.0,8608100.0,11905200.0,23892900.0,11423300.0,10619700.0,21889900.0,24034500.0,2516300.0,5124800.0,137547200,5253800.0,27992400.0,1202600.0,11710000.0,25621200.0,3778050000
3969100,135100,1979900.0,5846600.0,778400.0,4199500.0,1750000.0,3338100.0,1964600.0,4984500.0,13953900.0,16305900.0,12931200.0,5554800.0,19905800.0,18924600.0,1137400.0,6234200.0,124773600,4026900.0,23304900.0,1198200.0,14259300.0,24159700.0,3681470000
3151200,164800,3372500.0,6192400.0,791400.0,5110300.0,2155300.0,2601500.0,2981300.0,4643400.0,15124200.0,16524000.0,15382500.0,8738800.0,12161900.0,29538600.0,1883100.0,4293600.0,129700400,4578500.0,26826500.0,1778200.0,21172500.0,36875000.0,3639430000
3553900,207900,3007400.0,7055600.0,789400.0,4216300.0,5506600.0,2160000.0,7125100.0,5264700.0,16858300.0,12245200.0,9440700.0,7010400.0,12247500.0,20285100.0,2759900.0,4012200.0,108434400,4140100.0,21059500.0,1618000.0,8480800.0,23601600.0,3471780000
3337000,198500,2557600.0,7427100.0,644000.0,4501500.0,3499700.0,2400500.0,2753000.0,4003600.0,9372200.0,12937100.0,8550900.0,17473600.0,11181500.0,17578000.0,2420700.0,3300000.0,130756400,5169300.0,25678800.0,1333100.0,7466200.0,23412800.0,3519650000
