Close_AAL,Close_ALGT,Close_ALK,Close_DAL,Close_HA,Close_LUV,Close_BCS,Close_CS,Close_DB,Close_GS,Close_MS,Close_WFC,Close_BHC,Close_JNJ,Close_MRK,Close_PFE,Close_RHHBY,Close_UNH,Close_AAPL,Close_AMZN,Close_FB,Close_GOOG,Close_IBM,Close_MSFT,Close_SP500
41.009998,178.059998,82.019997,48.68,47.189999,44.799999,8.62,14.13,16.940001,156.979996,25.01,48.360001,26.299999,108.199997,52.91,29.639999,30.629999,128.899994,27.247499,593.640015,114.099998,744.950012,151.449997,55.23,2059.73999
39.939999,179.679993,81.870003,48.040001,49.740002,45.84,9.49,15.08,17.360001,159.850006,25.879999,49.029999,33.099998,109.870003,55.959999,32.540001,31.77,127.760002,28.01,614.820007,110.510002,751.719971,151.229996,55.349998,2082.419922
41.169998,181.070007,81.860001,48.490002,50.080002,46.709999,9.51,15.01,17.280001,160.910004,26.17,48.790001,32.360001,109.839996,56.450001,32.650002,31.98,127.980003,28.025,620.75,110.839996,753.200012,151.160004,55.360001,2082.780029
40.91,178.110001,82.379997,47.5,50.169998,47.040001,9.46,14.89,17.299999,158.520004,25.76,48.25,32.139999,110.18,56.139999,32.5,31.889999,127.330002,27.4625,625.890015,109.639999,759.0,151.720001,55.650002,2080.72998
40.919998,181.75,82.239998,46.549999,49.959999,47.099998,9.56,15.12,17.690001,159.020004,25.73,48.84,33.34,110.93,56.509998,32.610001,32.349998,127.809998,26.870001,635.349976,110.449997,766.609985,152.529999,56.459999,2094.340088
41.34,178.270004,82.120003,46.869999,50.450001,47.130001,9.68,15.42,17.84,162.649994,26.459999,49.880001,33.450001,112.68,56.860001,32.889999,33.049999,130.5,26.727501,627.900024,112.290001,753.929993,144.0,56.389999,2100.800049
41.259998,176.320007,81.599998,46.599998,50.34,47.049999,9.88,15.82,18.719999,166.979996,27.41,50.450001,33.529999,113.580002,56.580002,33.23,32.619999,133.929993,26.782499,632.98999,112.419998,752.669983,146.110001,55.59,2102.399902
40.009998,174.289993,79.379997,44.970001,49.639999,47.73,9.81,15.59,18.67,165.320007,27.26,50.049999,33.349998,113.57,56.599998,33.240002,32.439999,132.960007,26.4925,631.0,113.440002,759.140015,149.300003,55.779999,2091.47998
38.209999,168.089996,76.809998,44.619999,44.0,47.25,9.91,15.62,18.889999,166.75,27.700001,50.619999,35.98,113.32,56.740002,33.27,32.349998,134.130005,26.42,620.5,110.559998,718.77002,148.5,51.779999,2091.580078
37.0,167.729996,74.449997,43.93,43.939999,46.849998,9.91,15.21,18.139999,165.089996,27.530001,50.509998,35.16,113.510002,56.220001,33.209999,32.0,133.779999,26.27,626.200012,110.099998,723.150024,148.809998,52.110001,2087.790039
36.919998,170.360001,74.349998,43.59,44.009998,46.18,10.14,15.51,18.639999,165.839996,27.549999,50.919998,36.23,112.910004,56.040001,33.049999,31.780001,134.240005,26.0875,616.880005,108.760002,708.140015,149.080002,51.439999,2091.699951
36.709999,168.460007,73.580002,43.689999,44.240002,45.57,10.2,15.51,19.02,166.919998,27.530001,50.93,34.919998,112.769997,56.310001,33.0,32.049999,132.800003,24.455,606.570007,108.889999,705.840027,150.470001,50.939999,2095.149902
35.970001,165.899994,72.010002,42.860001,43.490002,44.060001,10.09,15.56,19.459999,164.289993,27.23,50.41,35.25,112.480003,55.740002,32.91,31.719999,132.070007,23.7075,602.0,116.730003,691.02002,147.070007,49.900002,2075.810059
34.689999,160.570007,70.43,41.669998,42.07,44.610001,10.05,15.21,18.959999,164.110001,27.059999,49.98,33.360001,112.080002,54.84,32.709999,31.57,131.679993,23.434999,659.590027,117.580002,693.01001,145.940002,49.869999,2065.300049
31.51,142.649994,66.260002,41.599998,41.619999,41.560001,9.39,12.85,16.389999,155.339996,25.889999,48.240002,25.9,113.559998,53.880001,33.189999,31.120001,129.0,22.629999,709.919983,119.809998,710.830017,147.720001,51.080002,2046.609985
32.119999,144.880005,66.309998,43.0,42.130001,42.23,9.44,12.86,16.370001,155.380005,26.209999,48.27,27.049999,114.440002,54.650002,33.380001,31.4,130.639999,23.469999,710.659973,118.669998,716.48999,149.460007,51.830002,2066.659912
32.639999,143.399994,65.440002,43.669998,41.82,42.200001,9.44,12.81,16.16,154.649994,26.16,47.619999,29.08,113.830002,54.32,33.029999,31.049999,129.559998,23.372499,695.27002,117.349998,706.22998,148.0,50.509998,2047.209961
32.610001,142.320007,66.419998,43.860001,42.299999,42.900002,9.96,13.22,16.75,159.940002,27.24,48.650002,27.860001,113.589996,54.669998,33.169998,31.049999,130.509995,23.639999,697.450012,117.650002,706.630005,147.339996,50.810001,2047.630005
32.150002,140.710007,65.389999,43.099998,41.220001,42.169998,10.03,13.46,16.790001,154.699997,26.610001,48.380001,26.26,112.849998,54.580002,33.380001,30.73,130.0,23.549999,698.52002,116.809998,700.320007,144.929993,50.32,2040.040039
32.009998,140.029999,65.209999,43.099998,41.310001,42.189999,10.16,13.7,16.91,154.509995,26.77,48.75,27.469999,112.639999,55.110001,33.740002,31.18,130.940002,23.805,702.799988,117.349998,709.73999,147.25,50.619999,2052.320068
31.73,138.149994,65.339996,42.950001,41.099998,42.209999,10.17,13.78,16.93,155.449997,26.83,48.700001,26.209999,112.160004,54.919998,33.669998,31.370001,130.419998,24.1075,696.75,115.970001,704.23999,146.770004,50.029999,2048.040039
32.150002,138.970001,66.870003,43.630001,42.209999,42.799999,10.66,14.1,17.370001,157.589996,27.41,49.200001,26.110001,112.690002,55.599998,34.099998,31.6,132.589996,24.475,704.200012,117.699997,720.090027,148.309998,51.59,2076.060059
32.169998,139.119995,66.910004,43.5,41.619999,42.529999,10.92,14.37,17.99,161.25,27.780001,50.5,27.120001,113.349998,56.57,34.349998,31.969999,133.419998,24.905001,708.349976,117.889999,725.27002,151.690002,52.119999,2090.540039
31.51,136.490005,66.139999,42.759998,41.209999,41.790001,10.83,14.32,18.049999,159.220001,27.42,50.549999,26.940001,112.900002,56.389999,34.43,32.119999,132.979996,25.102501,714.909973,119.470001,724.119995,152.440002,51.889999,2090.100098
31.65,139.669998,66.82,43.119999,41.43,42.330002,10.91,14.3,18.129999,159.529999,27.530001,50.849998,28.42,113.059998,56.48,34.610001,33.200001,134.0,25.0875,712.23999,119.379997,732.659973,152.839996,52.32,2099.060059
31.91,139.020004,66.400002,43.459999,40.459999,42.48,10.58,13.68,17.799999,159.479996,27.370001,50.720001,28.450001,112.690002,56.259998,34.700001,32.880001,133.669998,24.965,722.789978,118.809998,735.719971,153.740005,53.0,2096.949951
31.799999,145.850006,64.290001,40.57,37.669998,42.16,9.33,12.09,15.18,148.630005,25.26,47.970001,23.780001,116.790001,56.110001,34.740002,31.67,138.089996,24.334999,715.23999,113.949997,718.359985,151.279999,50.139999,2079.060059
30.360001,148.929993,61.52,39.110001,36.509998,39.880001,9.05,11.8,14.73,146.190002,24.6,46.880001,24.139999,117.120003,56.25,34.990002,31.34,137.869995,24.365,719.299988,114.940002,718.27002,151.059998,49.830002,2075.320068
30.49,146.479996,61.16,38.889999,36.599998,39.939999,9.11,11.92,14.82,146.160004,24.719999,46.779999,23.66,116.410004,56.09,34.790001,31.280001,137.259995,24.285,714.26001,114.599998,718.919983,150.679993,49.689999,2071.5
29.139999,146.130005,60.369999,38.02,36.200001,39.779999,9.12,12.08,14.9,146.630005,25.07,46.849998,22.42,116.639999,57.5,34.75,31.299999,138.660004,24.387501,717.51001,114.389999,710.359985,151.059998,50.389999,2077.98999
29.34,143.899994,59.880001,38.009998,36.130001,39.740002,9.62,12.55,15.62,145.639999,25.309999,46.599998,22.040001,115.480003,55.889999,34.220001,31.58,137.690002,23.8325,706.390015,113.019997,691.719971,151.990005,50.130001,2071.219971
29.709999,143.990005,59.48,38.09,36.040001,40.02,10.27,12.84,16.299999,147.75,25.9,46.93,22.52,116.540001,56.139999,34.5,31.889999,138.520004,23.775,714.01001,113.370003,693.710022,153.610001,50.07,2083.25
30.02,145.070007,60.459999,38.669998,36.400002,40.52,10.62,13.07,16.809999,148.350006,26.200001,47.23,21.639999,116.18,56.25,34.75,32.0,138.190002,23.977501,715.820007,114.379997,695.940002,154.050003,51.189999,2088.899902
29.889999,143.339996,59.68,38.549999,36.119999,40.259998,10.71,13.12,16.870001,148.139999,26.389999,46.970001,21.639999,116.459999,57.040001,34.470001,31.75,137.899994,23.887501,710.599976,113.910004,697.460022,152.919998,50.990002,2085.449951
30.33,143.509995,59.139999,38.310001,36.919998,39.59,11.18,13.72,17.84,152.660004,27.290001,47.91,22.25,117.379997,57.68,34.59,32.360001,139.190002,24.025,722.080017,115.080002,701.869995,155.350006,51.91,2113.320068
27.049999,141.5,56.490002,35.18,35.619999,38.310001,8.89,11.51,14.72,141.860001,24.52,45.709999,20.27,115.629997,55.880001,33.970001,30.77,137.289993,23.35,698.960022,112.080002,675.219971,146.589996,49.830002,2037.410034
25.27,138.550003,55.66,33.360001,36.84,36.759998,7.03,10.5,13.87,139.509995,23.610001,45.009998,18.73,116.550003,55.310001,33.799999,31.0,137.110001,23.01,691.359985,108.970001,668.26001,143.5,48.43,2000.540039
26.77,141.449997,56.709999,34.669998,37.73,37.43,7.3,10.55,14.17,142.410004,24.610001,46.099998,20.0,118.230003,55.580002,34.439999,31.639999,138.710007,23.397499,707.950012,112.699997,680.039978,145.699997,49.439999,2036.089966
27.700001,145.509995,57.689999,36.240002,37.540001,38.889999,7.6,10.64,14.09,145.5,25.23,46.970001,20.27,119.330002,57.049999,35.009998,32.330002,140.520004,23.6,715.599976,114.160004,684.109985,148.460007,50.540001,2070.77002
